Timestamp,No. Produksi,No. Seri,Jenis Produk
2024-12-02 17:50:15,4356761,SLG200NW,Silent Guitar
2024-12-02 17:50:23,4356755,SLG200S,Silent Guitar
2024-12-02 17:50:28,55479856,YOB-831,Oboes
2024-12-02 17:50:41,55479858,YOB-832,Oboes
2024-12-02 17:50:44,4256907,YRS-23 (German),Recorders
2024-12-02 17:50:54,4256909,P-32D,Pianika
2024-12-02 17:50:57,43479557,PAC112JL,Gitar Elektrik
2024-12-02 17:51:46,43479450,PAC112VM,Gitar Elektrik
2024-12-02 17:52:10,4256908,YRS-24B (Baroque),Recorders
2024-12-02 17:52:12,4256901,YTR-8445,C Trumpets
2024-12-02 17:52:15,4256903,YTR-8445G,C Trumpets
2024-12-02 17:52:17,4256902,YTR-8445GS,C Trumpets
2024-12-02 17:52:19,4256900,YTR-8445S,C Trumpets
2024-12-02 17:52:43,43479856,PAC1611MS,Gitar Elektrik
2024-12-02 17:52:48,43479553,PACIFICA112J,Gitar Elektrik
2024-12-02 17:52:51,4256904,PSR-EW425,Portable Keyboard
2024-12-02 17:52:54,4356945,RDP2F5,Drum Akustik
2024-12-02 17:53:01,4356759,SLG200N,Silent Guitar
2024-12-02 17:53:17,4364761,BB234,Bass Elektrik
2024-12-02 17:53:20,4364765,BB235,Bass Elektrik
2024-12-02 17:53:27,4368764,BB434,Bass Elektrik
2024-12-02 17:53:34,4368774,BB434M,Bass Elektrik
2024-12-02 17:53:41,4361734,BB435,Bass Elektrik
2024-12-02 17:53:48,4361934,BB734A,Bass Elektrik
2024-12-02 17:53:50,4361944,BB735A,Bass Elektrik
2024-12-02 17:53:53,4356778,LNS1455,Snare Drum
2024-12-02 17:53:56,4256906,NCX5,gitar akustik-elektrik
2024-12-02 17:54:03,4256905,NTX5,Gitar nilon akustik-elektrik
