Timestamp,No. Produksi,No. Seri,Jenis Produk
2024-12-02 18:54:48,4256909,P-32D,Pianika
2024-12-02 18:54:52,43479557,PAC112JL,Gitar Elektrik
2024-12-02 18:55:55,43479450,PAC112VM,Gitar Elektrik
2024-12-02 18:57:29,4256909,P-32D,Pianika
2024-12-02 18:57:46,43479557,PAC112JL,Gitar Elektrik
2024-12-02 18:57:52,43479450,PAC112VM,Gitar Elektrik
2024-12-02 18:58:28,43479453,PAC112VMX,Gitar Elektrik
2024-12-02 18:58:47,4356761,SLG200NW,Silent Guitar
2024-12-02 18:58:50,4356755,SLG200S,Silent Guitar
2024-12-02 18:58:52,55479856,YOB-831,Oboes
2024-12-02 18:58:54,55479858,YOB-832,Oboes
2024-12-02 18:58:57,4256907,YRS-23 (German),Recorders
2024-12-02 18:59:08,4256908,YRS-24B (Baroque),Recorders
2024-12-02 18:59:10,4256901,YTR-8445,C Trumpets
2024-12-02 18:59:12,4256903,YTR-8445G,C Trumpets
2024-12-02 18:59:16,4256902,YTR-8445GS,C Trumpets
2024-12-02 18:59:19,4256900,YTR-8445S,C Trumpets
2024-12-02 18:59:27,43479856,PAC1611MS,Gitar Elektrik
2024-12-02 18:59:30,43479553,PACIFICA112J,Gitar Elektrik
2024-12-02 18:59:33,4256904,PSR-EW425,Portable Keyboard
2024-12-02 18:59:41,4356945,RDP2F5,Drum Akustik
2024-12-02 18:59:44,4356759,SLG200N,Silent Guitar
2024-12-02 18:59:53,4364761,BB234,Bass Elektrik
2024-12-02 18:59:56,4364765,BB235,Bass Elektrik
2024-12-02 18:59:58,4368764,BB434,Bass Elektrik
2024-12-02 19:00:01,4368774,BB434M,Bass Elektrik
2024-12-02 19:00:03,4361734,BB435,Bass Elektrik
2024-12-02 19:00:10,4361934,BB734A,Bass Elektrik
2024-12-02 19:00:12,4361944,BB735A,Bass Elektrik
2024-12-02 19:00:14,4356778,LNS1455,Snare Drum
2024-12-02 19:00:16,4256906,NCX5,gitar akustik-elektrik
2024-12-02 19:00:20,4256905,NTX5,Gitar nilon akustik-elektrik
